Cohort	AnimalID	Genotype	Geno	Sex	Diet	0	15	30	60	90	120	Dose	Weight	Weeks
4	8C4	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	10	23.9	17	13.4	9.7	9.6	2	31.9	9
1	1A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.7	29.4	25.8	11.5	10.9	8.1	2	23.5	9
1	1A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.3	28.4	18.7	12.4	9.2	9.1	2	27.7	9
1	2A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	10.2	27.6	15.6	12.2	10.7	9.4	2	28.1	9
1	5A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8	28.4	26.7	10.9	10.1	8.8	2	29	9
1	6A3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.1	25.9	19.9	9.7	9.8	9.6	2	28.6	9
2	1B2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.4	23.9	22.6	13.4	11.2	8.6	2	25.6	9
2	1B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	6.3	18.6	10.9	9.8	6.9	5.5	2	20	9
2	1B5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	11.3	27.3	21.5	15.4	10.8	7.3	2	19.6	9
2	2B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	10.4	22.7	22.8	12	11.8	8.4	2	29.5	9
2	5B1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	6.8	27.7	28.4	19.3	14.2	9.9	2	33.3	9
3	1C3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	3.3	27.2	26.4	10.8	9.8	10.2	2	20.1	9
3	"3C3 - "	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.7	31.8	29.4	14.1	13.4	12.4	2	27.8	9
3	4C1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.6	32	30.4	22.3	16	13.1	2	30.3	9
4	2D5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.9	22.2	28.4	19	13.7	9.3	2	28.7	9
4	4D3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.4	26.7	23.3	13	12.7	8.1	2	25.1	9
4	5D1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.4	27.9	16.9	12.7	9.4	8.1	2	30.5	9
4	8C2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.2	26.2	18.9	13.7	12.1	8.7	2	28.5	9
12	21B1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		9
12	20(a)B2(2)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		9
12	20(a)B3(3)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		9
12	18E1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		9
1	3A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.3	14.8	19.5	18.6	20.3	13.7	2	49.6	21
1	3A2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.6	27.2	31.7	24.2	18.4	12.4	2	42.7	21
1	5A3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	10.4	24.4	27.3	23.4	18.6	12.6	2	46.4	21
1	6A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	11.6	22.4	33.3	31.4	30.6	26.7	2	55.2	21
2	3B1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	10.8	21.9	24.2	33.3	14.3	12.1	2	37.8	21
2	3B3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	10.7	18.5	23.4	17	13.3	12.5	2	41.6	21
2	5B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	5.9	13	20.8	11.4	7.8	6.6	2	29.2	21
3	2C1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							2		21
3	8B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							2		21
4	1D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	7.9	17.9	14.8	11.9	10.9	8.7	2		21
4	3D1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.5	29.8	28.6	21.5	16.9	11.4	2		21
4	4D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.3	31.6	28.2	24.8	17.5	11.6	2		21
4	8C3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	6.3	21.1	12.2	7.9	8.3	6.9	2		21
4	8C4	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	6	19.2	17.1	11.1	11.3	10.3	2		21
1	1A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.4	30.8	22.7	16.4	12.9	10.2	2	39.9	21
1	1A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	11.7	27.4	24.2	20.2	18.5	11.2	2	48.5	21
1	2A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	11.1	27.4	28.7	28.8	31.8	23.8	2	47.2	21
1	5A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.7	17.8	20.7	16.8	14.9	12.9	2	48.4	21
1	6A3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	13.3	26.6	26.4	22.8	17.1	13.2	2	53.7	21
2	1B2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.9	13.5	17.2	16.3	17.4	12	2	46.3	21
2	1B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.4	20.7	20.7	13.4	12.8	10.4	2	38.7	21
2	1B5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.8	21.4	28.7	22.9	13	8.3	2	33	21
2	2B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	10.2	23.7	20.9	14.9	12.3	9.6	2	51	21
2	5B1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.6	23.9	23.6	12.1	11.6	10.8	2	40.8	21
3	1C3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		21
3	"3C3 - "	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		21
3	4C1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		21
4	2D5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	10.7	28.8	25.8	18.2	15.7	12.6	2		21
4	4D3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.3	23.5	20.9	12.5	12.3	10.8	2		21
4	5D1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.4	28.7	29.2	15.4	14.5	12.8	2		21
4	8C2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.3	24.3	19.1	11.6	11.9	9.2	2		21
12	21B1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		21
12	20(a)B2(2)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		21
12	20(a)B3(3)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		21
12	18E1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		21
1	3A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	10.4	16.1	13	13.3	10.5	9.3	1	50.9	25
1	3A2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	10.1	18.3	17.3	11.2	9.8	9.3	1	47.5	25
1	5A3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	11.4	19.3	16.3	12.2	11.3	9.1	1	48	25
1	6A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.6	16.2	15.1	11.4	11.2	9.3	1	56.2	25
2	3B1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	7.4	28.9	15.1	9.3	7.8	9.1	1	36.6	25
2	3B3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	7.3	19.1	16.2	10.3	8.9	8.1	1	42.8	25
2	5B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	6.1	16.3	13.7	9.5	6.9	5.8	1	28.9	25
3	2C1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							1		25
3	8B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							1		25
4	1D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.9	15.9	14.9	14.2	8.1	7.3	1	49.1	25
4	3D1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	7.5	20.8	10.6	8.4	7.9	5.2	1	46.8	25
4	4D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.9	27	19.4	11.3	11.6	8.5	1	54.1	25
4	8C3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	6.2	15.7	12.7	7.6	6.9	6.3	1	30	25
4	8C4	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.2	16.9	12.5	9.1	8.8	8.1	1	42.5	25
1	1A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.8	20.7	14.8	9.7	8	8.2	1	39.7	25
1	1A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	11.1	23.1	18.9	11.1	10.4	9.4	1	47.3	25
1	2A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.8	15.1	12.2	10.2	9.1	8.4	1	49.8	25
1	5A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.1	21.2	12.7	10.3	11.4	10.3	1	48.5	25
1	6A3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	12.1	23.8	25.2	21.1	16.5	13.1	1	57.1	25
2	1B2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.6	18.4	13.1	12	9.5	9.2	1	45.8	25
2	1B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.8	15.7	11.9	11.6	10.5	11.8	1	38.5	25
2	1B5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.4	20.6	17.2	8.6	7.8	8.1	1	34.5	25
2	2B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.5	15.8	11.5	10.1	8.7	9.5	1	53.5	25
2	5B1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.6	18.3	16.5	10.6	9.5	8.8	1	39.8	25
3	1C3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							1		25
3	"3C3 - "	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							1		25
3	4C1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							1		25
4	2D5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.9	23.8	27.2	16.3	10.7	12.1	1	53.2	25
4	4D3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	10.2	30.5	20.8	12.8	11.8	9.7	1	46.3	25
4	5D1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.6	18.3	19.1	12.3	9.7	9.6	1	51.6	25
4	8C2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	10.3	18.3	13.1	9.7	9.8	8.5	1	41.8	25
12	21B1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							1		25
12	20(a)B2(2)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							1		25
12	20(a)B3(3)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							1		25
12	18E1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							1		25
1	3A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	11.4	33.3	25.8	19.9	16.8	11.6	2	59	39
1	3A2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	12	24.4	22.9	15.8	12.3	11.9	2	59.5	39
1	5A3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	10.8	33.3	28.7	13.3	11.5	10.2	2	54	39
1	6A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	7.6	23.8	21.6	13.3	11.1	10.7	2	72	39
2	3B1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.2	22.8	26.4	16.2	13.8	13.9	2	45.3	39
2	3B3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.2	18.2	27.3	22.8	15.2	16.4	2	47.9	39
2	5B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							2	32.8	39
3	2C1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							2		39
3	8B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							2		39
4	1D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	10.6	24.4	31.8	28	26.6	20.4	2	56.5	39
4	3D1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.8	23.7	25.8	21.2	15.3	11.2	2	60.4	39
4	4D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.7	21.4	26.7	23.8	21.7	18.2	2	68.5	39
4	8C3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							2		39
4	8C4	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.9	28	33.3	25.6	18.8	18.7	2	59.2	39
1	1A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.5	30.5	28.9	20.2	15.5	13.7	2	49.7	39
1	1A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.9	24.8	23.4	15.1	14.1	10.8	2	56.9	39
1	2A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		39
1	5A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.6	32.8	24.5	15.6	10.9	10.3	2	63	39
1	6A3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	11.9	30	33.3	31.8	28.6	28.1	2	70.3	39
2	1B2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.8	20.7	18	10.9	11.7	10.2	2	56.1	39
2	1B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.6	17.6	17.6	10.9	10.4	10.8	2	48.2	39
2	1B5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.1	20.3	30.4	22.9	13.6	13.3	2	44.7	39
2	2B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	12.3	29.1	33.3	32.9	33.3	28.8	2	63.8	39
2	5B1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		39
3	1C3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		39
3	"3C3 - "	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		39
3	4C1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		39
4	2D5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	12.7	25.9	32.2	33.2	29.8	26.3	2	60.7	39
4	4D3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	11.4	33.3	33.3	33.3	30.6	24.9	2	61.3	39
4	5D1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	14.1	29.4	30.4	31.4	24.2	19.9	2	65.1	39
4	8C2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	12.1	31.1	33.3	33.3	26.4	16	2	55	39
12	21B1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	10.3	31.5	33.3	25.1	17.9	19.7	2	63.1	39
12	20(a)B2(2)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.3	22.7	33.3	33.3	28.4	25.2	2	34.4	39
12	20(a)B3(3)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.4	19.4	31.1	33.3	33.3	33.3	2	39.8	39
12	18E1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	10.7	27.3	25.1	17.4	16.3	15.7	2	68.9	39
1	3A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.8	33.3	29.8	23.1	20.9	16.2	2	68.3	54
1	3A2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	10.2	31.4	25.6	15.3	14.9	14.3	2	67.2	54
1	5A3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	11.6	30	33.3	33.3	29.4	16.2	2	71.3	54
1	6A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.1	19	14.4	10.9	10.7	10.1	2	84.5	54
2	3B1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.6	20.1	20.7	12.2	9.6	10.3	2	54.4	54
2	3B3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.2	21.7	19.6	11.3	9.7	9.4	2	55.8	54
2	5B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	6.3	19.4	10.7	9.1	7.4	6.1	2	37.3	54
3	2C1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							2		54
3	8B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							2		54
4	1D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.4	24.9	17.8	11.4	12	8.3	2		54
4	3D1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.4	16	19.3	15.5	12.5	9.9	2		54
4	4D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.4	25.4	26.6	21.1	16.7	15.9	2		54
4	8C3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD							2		54
4	8C4	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.3	27.1	20.3	13.7	9.8	9.1	2		54
1	1A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.2	20.6	18.9	15.5	13.1	11.1	2	53.1	54
1	1A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9	31.7	22.9	13.9	11.4	11.1	2	62.5	54
1	2A1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		54
1	5A4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.7	31	32.8	26.1	19.8	13.8	2	76.9	54
1	6A3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	12	21.2	24.2	19.3	15.8	14.7	2	89	54
2	1B2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.6	18.7	16.3	9	9.6	7.4	2	60	54
2	1B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7	26	21.3	13.1	10	8.7	2	51.1	54
2	1B5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.8	26.6	27.8	19.6	14.6	9.2	2	49.5	54
2	2B4	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	7.9	28.1	23.1	11.2	11.4	9.2	2	74.8	54
2	5B1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	6.8	32.1	22.4	12.5	10.4	8.7	2	53.2	54
3	1C3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		54
3	"3C3 - "	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		54
3	4C1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		54
4	2D5	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	10.7	32.8	27.9	21.3	16.4	14.9	2		54
4	4D3	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	14.1	31.9	31.7	29.9	26.1	20.4	2		54
4	5D1	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	9.3	27.7	23.4	11.9	11.8	10.8	2		54
4	8C2	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD	8.7	33.3	33.3	20.9	13	10.9	2		54
12	21B1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		54
12	20(a)B2(2)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		54
12	20(a)B3(3)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		54
12	18E1(1)	InsRf/wt:Ins1Cre+/-:nTnG+/-	HetCre	Female	HFD							2		54
1	3A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.5	24.6	21.1	21.3	15.7	13.3	2	29.5	9
1	5A5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.4	29.3	17.8	11.3	11.4	8.3	2	28.3	9
1	5A6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.4	31.6	27.7	15	10.9	10.3	2	26.1	9
1	6A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.4	28.2	20.7	12.8	12.7	10.3	2	25.9	9
2	1B1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	6.6	17.6	15.8	10.7	8.7	6.7	2	19.4	9
2	1B6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.2	19.8	18.2	12.4	8.3	6.9	2	20	9
2	1B7	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.9	20.5	24.7	13.6	10.7	7.5	2	21	9
2	3B4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	7.2	21.3	17	10.8	9.6	7.7	2	21	9
3	1C4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.8	28.7	14.8	12.7	13.1	11.2	2	28.3	9
3	1C5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9	23.1	20.4	12.8	12.2	9.9	2	24.9	9
3	2C2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.1	26.9	23.1	12.3	11.2	8.4	2	22.5	9
3	8B5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.2	30.7	27.2	21.2	13.3	8.8	2	30.1	9
4	1D1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	7.4	19.1	27.6	17	14.3	9.7	2	26.9	9
4	1D2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	6.8	15.9	11.7	9.1	7.5	6.4	2	21.7	9
4	1D4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.1	27.2	24.8	18.7	14	12.2	2	27	9
4	1D6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	7.7	26.2	26.3	20.4	10.8	9.2	2	23.8	9
4	3D3	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.2	20.8	21.6	15.9	11.8	8.1	2	24	9
12	21B2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		9
12	18E2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		9
1	1A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.2	26.4	23.1	15.6	10.6	9.7	2	23	9
1	1A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.4	26.4	21.9	17.4	10.3	10.1	2	22.2	9
1	2A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11.3	26.5	15.6	12.2	11.8	9.7	2	27.3	9
